148,iSense,iSense for iPad Air 2,iSense,F-J,1,1,1/2/2016,5,1/2/2016
152,E503-4400,Kwh meter,E503-4400,K-P,28,28,1/2/2016,5,1/2/2016
153,T-WNB-3Y-208,kWh Xducer 208/240 VAC Wye,T-WNB-3Y-208,K-P,3,3,1/2/2016,5,1/2/2016
155,solar-3w,Large Solar Panel Kit 3 Watt,solar-3w,K-P,1,1,1/2/2016,5,1/2/2016
156,Fluke 411D,Laser Distance Meter,Fluke 411D,K-P,3,3,1/2/2016,5,1/2/2016
157,461995,Laser Photo/Contact Tachometer,461995,K-P,1,1,1/2/2016,5,1/2/2016
158,RLD2,Leak Detector Flashlight,RLD2,K-P,4,4,1/2/2016,5,1/2/2016
159,2373-LPRT,Lemo Mini Grabbers,2373-LPRT,K-P,1,1,1/2/2016,5,1/2/2016
160,ThinkCentre M93p,Lenovo M93P Mini Tower,ThinkCentre M93p,K-P,2,2,1/2/2016,5,1/2/2016
163,MM-4e,LIGHT BOX,MM-4e,K-P,3,3,1/2/2016,5,1/2/2016
164,UX90-Light Pipe,Light Pipe,UX90-Light Pipe,K-P,10,10,1/2/2016,5,1/2/2016
165,M-LBB,Light sensor Bracket,M-LBB,K-P,1,1,1/2/2016,5,1/2/2016
166,M-LLA,Light sensor level,M-LLA,K-P,1,1,1/2/2016,5,1/2/2016
167,M250-001,M250 MHZ READER KIT,M250-001,K-P,1,1,1/2/2016,5,1/2/2016
173,MAN30,Manometer 30psi,MAN30,K-P,4,4,1/2/2016,5,1/2/2016
176,Fluke 7103,Micro Bath,Fluke 7103,K-P,1,1,1/2/2016,5,1/2/2016
177,Yeti Pro Blue,Microphone,Yeti Pro Blue,K-P,1,1,1/2/2016,5,1/2/2016
178,45158,Mini Thermo-Anemometer,45158,K-P,1,1,1/2/2016,5,1/2/2016
180,TE1010,Modlet,TE1010,K-P,7,7,1/2/2016,5,1/2/2016
181,MO290,Moisture Meter,MO290,K-P,4,4,1/2/2016,5,1/2/2016
183,MX1101,MX1101 Temp/RH,MX1101,K-P,3,3,1/2/2016,5,1/2/2016
193,Fluke 985,Particle Counter,Fluke 985,K-P,1,1,1/2/2016,5,1/2/2016
195,Pelican 1510,Pelican Case,Pelican 1510,K-P,2,2,1/2/2016,5,1/2/2016
196,UA-002-64,Pendant Temperature/Light,UA-002-64,K-P,4,4,1/2/2016,5,1/2/2016
197,461700,Photo Tachometer,461700,K-P,1,1,1/2/2016,5,1/2/2016
201,Bacharach PCA 3,Portable Combustion Analyzer Kit,Bacharach PCA 3,K-P,2,2,1/2/2016,5,1/2/2016
202,BLI-28000ER,Power Cost Monitor,BLI-28000ER,K-P,1,1,1/2/2016,5,1/2/2016
203,BLI-31100,Power Cost Monitor Wifi,BLI-31100,K-P,1,1,1/2/2016,5,1/2/2016
204,T-VER-E50B2,Power Meter 600 VAC 3 Pulse Output,T-VER-E50B2,K-P,9,9,1/2/2016,5,1/2/2016
205,Fluke 345,Power Quality Clamp Meter,Fluke 345,K-P,2,2,1/2/2016,5,1/2/2016
208,R150/R155 ,R150/R155 ACCESSORIES,R150/R155 ,Q-T,60,60,1/2/2016,5,1/2/2016
209,RF Utility V2.4,Reader Config utility V2.4,RF Utility V2.4,Q-T,1,1,1/2/2016,5,1/2/2016
210,Fluke 1523,Reference Thermometer,Fluke 1523,Q-T,1,1,1/2/2016,5,1/2/2016
211,RF Mgt V.2.6.1,RF Code Management V.2.6.1,RF Mgt V.2.6.1,Q-T,1,1,1/2/2016,5,1/2/2016
213,RS3,RS3 SOLAR RADIATION SHEILD ,RS3,Q-T,1,1,1/2/2016,5,1/2/2016
216,SBWD100B,Screen Beam Kit,SBWD100B,Q-T,1,1,1/2/2016,5,1/2/2016
218,S-LIB-M003,Silicon Pyranometer Sensor,S-LIB-M003,Q-T,1,1,1/2/2016,5,1/2/2016
226,SDL600,Sound Level Meter,SDL600,Q-T,2,2,1/2/2016,5,1/2/2016
232,SIMUMKT,Supermarket Refrigeation ,SIMUMKT,Q-T,1,1,1/2/2016,5,1/2/2016
233,1601,Surface Pro 2 - 256GB,1601,Q-T,3,3,1/2/2016,5,1/2/2016
234,1631,Surface Pro 3,1631,Q-T,1,1,1/2/2016,5,1/2/2016
237,Telaire 7001,Telaire 7001 CO2 Device,Telaire 7001,Q-T,1,1,1/2/2016,5,1/2/2016
238,CABLE CO2,Telaire 7001 CO2 Sensor Cable,CABLE CO2,Q-T,4,4,1/2/2016,5,1/2/2016
239,S-THB-M008,Temp/RH Sensor,S-THB-M008,Q-T,10,10,1/2/2016,5,1/2/2016
240,UX100-001,Temperature Logger,UX100-001,Q-T,8,8,1/2/2016,5,1/2/2016
241,R150-5B10,Temperature Sensor,R150-5B10,Q-T,20,20,1/2/2016,5,1/2/2016
242,S-TMB-M017,Temperature Smart Sensor (17M),S-TMB-M017,Q-T,4,4,1/2/2016,5,1/2/2016
243,ZW-003,Temperature/RH,ZW-003,Q-T,4,4,1/2/2016,5,1/2/2016
244,DO10-3000-121,TFX Ultra RTD Kit,DO10-3000-121,Q-T,2,2,1/2/2016,5,1/2/2016
248,Flir E60,Thermal Image Camera,Flir E60,Q-T,4,4,1/2/2016,5,1/2/2016
249,AN100,Thermo-Anemometer,AN100,Q-T,1,1,1/2/2016,5,1/2/2016
250,TC6-J-K-T,Thermocouple Connectors,TC6-J-K-T,Q-T,1,1,1/2/2016,5,1/2/2016
251,TCW100-J,Thermocouple Wire Type J,TCW100-J,Q-T,1,1,1/2/2016,5,1/2/2016
252,Fluke 1730,Three Phase Electrical Energy Logger,Fluke 1730,Q-T,1,1,1/2/2016,5,1/2/2016
253,SCT-2000-600,T-MAG-SCT-600,SCT-2000-600,Q-T,9,9,1/2/2016,5,1/2/2016
254,TMC6-HE,TMC6-HE Temp Sensor,TMC6-HE,Q-T,3,3,1/2/2016,5,1/2/2016
255,TMC20-HD,TMCx HD water/soil temp sensor,TMC20-HD,Q-T,12,12,1/2/2016,5,1/2/2016
256,WV2-DT,Top Mount Energy Sensor & Gateway for Digital Meters,WV2-DT,Q-T,1,1,1/2/2016,5,1/2/2016
257,Fluke 381,True RMS AC/DC Clamp Meter,Fluke 381,Q-T,4,4,1/2/2016,5,1/2/2016
258,A-E50B2-LEADSET,T-VER-E50B2 Wiring Kit,A-E50B2-LEADSET,Q-T,6,6,1/2/2016,5,1/2/2016
