EquipmentAssetID,EquipmentGroupID,EquipmentName,EquipmentModel,EquipmentTagging,EquipmentQuantityTotal,EquipmentQuantityAvailable,EquipmentAddedDate,EquipmentAddedBy,EquipmentQuantityUpdatedDate,EquipmentPDFPath
155,solar-3w,Large Solar Panel Kit 3 Watt,solar-3w,K-P,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq155.pdf
156,Fluke 411D,Laser Distance Meter,Fluke 411D,K-P,3,3,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq156.pdf
157,461995,Laser Photo/Contact Tachometer,461995,K-P,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/LaserPhotoContactTachometer.pdf
158,RLD2,Leak Detector Flashlight,RLD2,K-P,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/LeakDetectorFlashlight.pdf
159,2373-LPRT,Lemo Mini Grabbers,2373-LPRT,K-P,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq159.pdf
160,ThinkCentre M93p,Lenovo M93P Mini Tower,ThinkCentre M93p,K-P,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq160.pdf
163,MM-4e,LIGHT BOX,MM-4e,K-P,3,3,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/LIGHTBOX.pdf
164,UX90-Light Pipe,Light Pipe,UX90-Light Pipe,K-P,10,10,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/LightPipe.pdf
165,M-LBB,Light sensor Bracket,M-LBB,K-P,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq165.pdf
166,M-LLA,Light sensor level,M-LLA,K-P,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq166.pdf
167,M250-001,M250 MHZ READER KIT,M250-001,K-P,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/M250MHZREADERKIT.pdf
173,MAN30,Manometer 30psi,MAN30,K-P,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq173.pdf
176,Fluke 7103,Micro Bath,Fluke 7103,K-P,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq176.pdf
177,Yeti Pro Blue,Microphone,Yeti Pro Blue,K-P,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq177.pdf
178,45158,Mini Thermo-Anemometer,45158,K-P,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq178.pdf
180,TE1010,Modlet,TE1010,K-P,7,7,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq180.pdf
181,MO290,Moisture Meter,MO290,K-P,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/MoistureMeter.pdf
183,MX1101,MX1101 Temp/RH,MX1101,K-P,3,3,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq183.pdf
193,Fluke 985,Particle Counter,Fluke 985,K-P,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/ParticleCounter.pdf
195,Pelican 1510,Pelican Case,Pelican 1510,K-P,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq195.pdf
196,UA-002-64,Pendant Temperature/Light,UA-002-64,K-P,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/PendantTemperatureLight.pdf
197,461700,Photo Tachometer,461700,K-P,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq197.pdf
201,Bacharach PCA 3,Portable Combustion Analyzer Kit,Bacharach PCA 3,K-P,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/PortableCombustionAnalyzerKit.pdf
202,BLI-28000ER,Power Cost Monitor,BLI-28000ER,K-P,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq202.pdf
203,BLI-31100,Power Cost Monitor Wifi,BLI-31100,K-P,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq203.pdf
204,T-VER-E50B2,Power Meter 600 VAC 3 Pulse Output,T-VER-E50B2,K-P,9,9,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/PowerMeter600VAC3PulseOutput.pdf
205,Fluke 345,Power Quality Clamp Meter,Fluke 345,K-P,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq205.pdf
208,R150/R155 ,R150/R155 ACCESSORIES,R150/R155 ,Q-T,60,60,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq208.pdf
209,RF Utility V2.4,Reader Config utility V2.4,RF Utility V2.4,Q-T,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq209.pdf
210,Fluke 1523,Reference Thermometer,Fluke 1523,Q-T,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq210.pdf
211,RF Mgt V.2.6.1,RF Code Management V.2.6.1,RF Mgt V.2.6.1,Q-T,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/RFCodeManagementV261.pdf
213,RS3,RS3 SOLAR RADIATION SHEILD ,RS3,Q-T,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq213.pdf
216,SBWD100B,Screen Beam Kit,SBWD100B,Q-T,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq216.pdf
218,S-LIB-M003,Silicon Pyranometer Sensor,S-LIB-M003,Q-T,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/SiliconPyranometerSensor.pdf
